year	month	day	streamflow
1954	5	28	0.0028
1954	5	29	7.0226
1954	5	30	0.6796
1954	5	31	0.2095
1954	6	1	0.0878
1954	6	2	0.034
1954	6	3	0.0113
1954	6	4	0.0028
1954	6	5	0.0028
1954	6	6	0
1954	6	7	0
1954	6	8	0
1954	6	9	0
1954	6	10	0
1954	6	11	0
1954	6	12	0
1954	6	13	0
1954	6	14	0
1954	6	15	0
1954	6	16	0
1954	6	17	0
1954	6	18	0
1954	6	19	0
1954	6	20	0
1954	6	21	0
1954	6	22	0
1954	6	23	0
1954	6	24	0
1954	6	25	0
1954	6	26	0
1954	6	27	0
1954	6	28	0
1954	6	29	0
1954	6	30	0
1954	7	1	0
1954	7	2	0
1954	7	3	0
1954	7	4	0
1954	7	5	0
1954	7	6	0
1954	7	7	0
1954	7	8	0
1954	7	9	0
1954	7	10	0
1954	7	11	0
1954	7	12	0
1954	7	13	0
1954	7	14	0
1954	7	15	0
1954	7	16	0
1954	7	17	0
1954	7	18	0
1954	7	19	0
1954	7	20	0
1954	7	21	0
1954	7	22	0
1954	7	23	0
1954	7	24	0
1954	7	25	0
1954	7	26	0
1954	7	27	0
1954	7	28	0
1954	7	29	0
1954	7	30	0
1954	7	31	0
1954	8	1	0
1954	8	2	0
1954	8	3	0
1954	8	4	0
1954	8	5	0
1954	8	6	0
1954	8	7	0
1954	8	8	0
1954	8	9	0
1954	8	10	0
1954	8	11	0
1954	8	12	0
